date,description,amount
2019-01-02,Prlv De Engie,-64.8
2019-03-11,Prlv De Engie,-62.64
2019-05-10,Prlv De Engie,-62.64
2018-06-04,Prlv De Engie,-62.595
2017-10-03,Prlv De Engie,-62.475
2017-07-03,Prlv De Engie,-62.4
2017-09-04,Prlv De Engie,-62.4
2019-04-02,Prlv De Engie,-62.1
2018-09-03,Prlv De Engie,-62.06
2017-03-09,Prlv De Engie,-61.88
2017-04-03,Prlv De Engie,-61.88
2018-11-02,Prlv De Engie,-61.56
2019-02-04,Prlv De Engie,-61.56
2016-11-02,Prlv De Engie,-61.285
2018-04-04,Prlv De Engie,-60.99
2018-07-03,Prlv De Engie,-60.99
2018-01-02,Prlv De Engie,-60.9
2018-02-02,Prlv De Engie,-60.9
2019-01-03,Prlv De Edf Clients Particulie,-60.75
2018-12-03,Prlv De Engie,-60.48
2017-11-02,Prlv De Engie,-60.375
2017-06-02,Prlv De Engie,-60.32
2017-02-02,Prlv De Engie,-60.255
2018-09-03,Prlv De Edf Clients Particulie,-60.1875
2019-05-06,Prlv De Edf Clients Particulie,-59.94
2018-10-03,Prlv De Engie,-59.92
2017-01-02,Prlv De Engie,-59.74
2019-06-05,Prlv De Engie,-59.4
2018-07-04,Prlv De Edf Clients Particulie,-59.385
2018-08-02,Prlv De Engie,-59.385
2017-08-02,Prlv De Engie,-59.28
2016-09-02,Prlv De Engie,-59.225
2016-08-02,Prlv De Engie,-59.16
2019-04-03,Prlv De Edf Clients Particulie,-59.13
2018-05-03,Prlv De Engie,-58.85
2017-09-04,Prlv De Edf Clients Particulie,-58.83
2017-12-04,Prlv De Edf Clients Particulie,-58.83
2017-12-04,Prlv De Engie,-58.8
2018-06-04,Prlv De Edf Clients Particulie,-58.5825
2018-08-03,Prlv De Edf Clients Particulie,-58.5825
2016-10-04,Prlv De Edf Clients Particulie,-58.5
2019-06-03,Prlv De Edf Clients Particulie,-58.32
2017-06-06,Prlv De Edf Clients Particulie,-58.275
2016-04-25,Prlv De Engie,-58.14
2016-08-03,Prlv De Edf Clients Particulie,-57.9375
2018-11-05,Prlv De Edf Clients Particulie,-57.78
2016-10-10,Prlv De Edf Clients Particulie,-57.72
2017-01-03,Prlv De Edf Clients Particulie,-57.72
2016-07-04,"Prlv De Engie, Ex Gdfsuez",-57.63
2019-02-04,Prlv De Edf Clients Particulie,-57.51
2016-04-13,Prlv De Edf Clients Particulie,-57.375
2017-11-03,Prlv De Edf Clients Particulie,-57.24
2018-02-05,Prlv De Edf Clients Particulie,-57.24
2017-05-03,Prlv De Engie,-57.2
2016-09-09,Prlv De Edf Clients Particulie,-57.165
2016-12-05,Prlv De Engie,-57.165
2016-05-03,"Prlv De Engie, Ex Gdfsuez",-57.12
2016-11-03,Prlv De Edf Clients Particulie,-56.94
2019-03-07,Prlv De Edf Clients Particulie,-56.7
2016-10-03,Prlv De Engie,-56.65
2016-06-09,Prlv De Edf Clients Particulie,-56.61
2018-04-03,Prlv De Edf Clients Particulie,-56.445
2018-10-04,Prlv De Edf Clients Particulie,-56.175
2018-12-04,Prlv De Edf Clients Particulie,-56.175
2017-02-03,Prlv De Edf Clients Particulie,-56.16
2016-06-02,"Prlv De Engie, Ex Gdfsuez",-56.1
2017-04-03,Prlv De Edf Clients Particulie,-55.9125
2017-05-04,Prlv De Edf Clients Particulie,-55.9125
2017-07-04,Prlv De Edf Clients Particulie,-55.9125
2017-10-04,Prlv De Edf Clients Particulie,-55.65
2018-01-03,Prlv De Edf Clients Particulie,-55.65
2018-05-04,Prlv De Edf Clients Particulie,-55.65
2016-07-04,Prlv De Edf Clients Particulie,-55.62
2016-08-09,Prlv De Edf Clients Particulie,-55.62
2016-12-05,Prlv De Edf Clients Particulie,-55.38
2017-04-06,Prlv De Edf Clients Particulie,-55.125
2017-05-18,Prlv De Edf Clients Particulie,-55.125
2017-08-03,Prlv De Edf Clients Particulie,-55.125
2016-05-10,Prlv De Edf Clients Particulie,-55.08
2016-07-11,Prlv De Edf Clients Particulie,-54.8475
2017-03-24,Prlv De Edf Clients Particulie,-54.6
2016-05-04,Prlv De Edf Clients Particulie,-54.315
2016-09-05,Prlv De Edf Clients Particulie,-54.075
2016-06-03,Prlv De Edf Clients Particulie,-53.55
2017-09-26,CB Amazon.fr/prem,-51.51
2018-06-26,CB Amazon.fr/prem,-51.51
2018-08-26,CB Amazon.fr/prem,-51.51
2018-11-26,CB Amazon.fr/prem,-51.51
2019-02-26,CB Amazon.fr/prem,-51.51
2019-06-26,CB Amazon.fr/prem,-51.51
2018-02-26,CB Amazon.fr/prem,-51.51
2019-01-26,CB Amazon.fr/prem,-51.51
2017-10-26,CB Amazon.fr/prem,-50.5
2017-11-26,CB Amazon.fr/prem,-50.5
2018-01-26,CB Amazon.fr/prem,-50.5
2018-02-26,CB Amazon.fr/prem,-50.5
2018-09-26,CB Amazon.fr/prem,-50.5
2018-05-26,CB Amazon.fr/prem,-50.5
2018-08-26,CB Amazon.fr/prem,-50.5
2018-10-26,CB Amazon.fr/prem,-50.5
2019-03-26,CB Amazon.fr/prem,-50.5
2019-05-26,CB Amazon.fr/prem,-50.5
2017-06-26,CB Amazon.fr/prem,-49.49
2017-07-26,CB Amazon.fr/prem,-49.49
2017-08-26,CB Amazon.fr/prem,-49.49
2017-12-26,CB Amazon.fr/prem,-49.49
2018-03-26,CB Amazon.fr/prem,-49.49
2018-04-26,CB Amazon.fr/prem,-49.49
2018-05-26,CB Amazon.fr/prem,-49.49
2018-07-26,CB Amazon.fr/prem,-49.49
2018-10-26,CB Amazon.fr/prem,-49.49
2018-12-26,CB Amazon.fr/prem,-49.49
2019-01-26,CB Amazon.fr/prem,-49.49
2019-03-26,CB Amazon.fr/prem,-49.49
2019-04-26,CB Amazon.fr/prem,-49.49
2019-05-26,CB Amazon.fr/prem,-49.49
2018-03-26,CB Amazon.fr/prem,-49.49
2018-04-26,CB Amazon.fr/prem,-49.49
2018-06-26,CB Amazon.fr/prem,-49.49
2018-07-26,CB Amazon.fr/prem,-49.49
2018-09-26,CB Amazon.fr/prem,-49.49
2018-11-26,CB Amazon.fr/prem,-49.49
2018-12-26,CB Amazon.fr/prem,-49.49
2019-02-26,CB Amazon.fr/prem,-49.49
2019-04-26,CB Amazon.fr/prem,-49.49
2019-06-26,CB Amazon.fr/prem,-49.49
2019-03-04,Prlv De Orange,-47.32
2018-07-02,Prlv De Orange,-46.865
2018-07-30,Prlv De Orange,-46.865
2019-03-11,Prlv De Suez Eau France,-46.865
2018-10-01,Prlv De Orange,-46.592
2018-08-10,Prlv De Suez Eau France,-46.41
2018-11-12,Prlv De Suez Eau France,-46.144
2018-12-10,Prlv De Suez Eau France,-46.144
2019-02-11,Prlv De Suez Eau France,-46.144
2019-01-29,Prlv De Orange,-45.864
2019-03-25,Prlv De Orange,-45.696
2018-10-29,Prlv De Orange,-45.136
2018-11-30,Prlv De Orange,-45.136
2019-05-10,Prlv De Suez Eau France,-45.136
2018-04-30,Prlv De Orange,-44.702
2019-01-10,Prlv De Suez Eau France,-44.702
2018-08-31,Prlv De Orange,-44.408
2018-12-31,Prlv De Orange,-44.408
2019-05-24,Prlv De Orange,-44.268
2018-03-02,CB Orange Vad,-43.981
2018-04-03,Prlv De Orange,-43.981
2019-06-05,Prlv De Orange,-43.981
2019-06-10,Prlv De Suez Eau France,-43.68
2019-04-01,Prlv De Orange,-43.554
2019-04-26,Prlv De Orange,-43.554
2019-04-26,Prlv De Orange,-43.554
2018-05-29,Prlv De Orange,-43.26
2018-10-10,Prlv De Suez Eau France,-43.26
2018-02-12,CB Orange,-42.84
2018-04-10,Prlv De Suez Eau France,-42.84
2018-05-11,Prlv De Suez Eau France,-42.84
2018-06-11,Prlv De Suez Eau France,-42.84
2018-09-10,Prlv De Suez Eau France,-42.84
2017-11-30,Prlv De Bouygues Telecom,-34.476
2017-06-30,Prlv De Bouygues Telecom,-34.1445
2017-08-30,Prlv De Bouygues Telecom,-34.1445
2016-12-30,Prlv De Bouygues Telecom,-33.813
2017-01-30,Prlv De Bouygues Telecom,-33.813
2017-12-29,Prlv De Bouygues Telecom,-33.592
2018-01-30,Prlv De Bouygues Telecom,-33.592
2017-07-31,Prlv De Bouygues Telecom,-33.269
2016-11-30,Prlv De Bouygues Telecom,-32.946
2018-02-23,Vir Bouygues Telecom,-32.708
2017-05-02,Prlv De Bouygues Telecom,-32.3935
2017-10-30,Prlv De Bouygues Telecom,-31.824
2017-05-31,Prlv De Bouygues Telecom,-31.518
2017-10-02,Prlv De Bouygues Telecom,-31.518
2017-03-02,Prlv De Bouygues Telecom,-31.212
2017-03-30,Prlv De Bouygues Telecom,-31.212
2018-10-15,CB Etranger Netflix,-12.96
2019-01-10,CB Etranger Netflix,-12.96
2019-02-08,CB Etranger Netflix,-12.96
2019-05-09,CB Etranger Netflix,-12.96
2018-07-16,CB Etranger Netflix,-12.84
2017-10-10,CB Etranger Netflix,-12.6
2017-12-11,CB Etranger Netflix,-12.6
2017-03-10,CB Etranger Netflix,-12.48
2017-04-10,CB Etranger Netflix,-12.48
2017-08-10,CB Etranger Netflix,-12.48
2017-01-10,CB Etranger Netflix,-12.36
2016-07-11,CB Etranger Netflix,-12.24
2018-11-14,CB Etranger Netflix,-11.88
2019-03-08,CB Etranger Netflix,-11.88
2019-04-09,CB Etranger Netflix,-11.88
2018-05-16,CB Etranger Netflix,-11.77
2018-06-14,CB Etranger Netflix,-11.77
2018-08-14,CB Etranger Netflix,-11.77
2017-11-13,CB Etranger Netflix,-11.55
2018-01-15,CB Etranger Netflix,-11.55
2017-05-10,CB Etranger Netflix,-11.44
2017-06-12,CB Etranger Netflix,-11.44
2017-07-10,CB Etranger Netflix,-11.44
2016-08-10,CB Etranger Netflix,-11.33
2016-10-10,CB Etranger Netflix,-11.33
2016-11-10,CB Etranger Netflix,-11.33
2016-12-12,CB Etranger Netflix,-11.33
2016-04-11,CB Etranger Netflix,-11.22
2016-06-13,CB Etranger Netflix,-11.22
2018-09-14,CB Etranger Netflix,-10.8
2018-12-14,CB Etranger Netflix,-10.8
2019-06-06,CB Etranger Netflix,-10.8
2018-02-14,CB Etranger Netflix,-10.7
2018-03-14,CB Etranger Netflix,-10.7
2018-04-17,CB Etranger Netflix,-10.7
2017-09-11,CB Etranger Netflix,-10.5
2017-02-10,CB Etranger Netflix,-10.4
2016-09-12,CB Etranger Netflix,-10.3
2016-03-11,CB Etranger Netflix,-10.2
2016-05-10,CB Etranger Netflix,-10.2
