date,description,amount
2019-05-07,Prlv De Free Telecom,-28.288
2018-09-01,Prlv De Free Telecom,-28.016
2018-05-01,Prlv De Free Telecom,-27.744
2019-01-05,Prlv De Free Telecom,-27.404
2019-02-05,Prlv De Free Telecom,-27.404
2019-03-05,Prlv De Free Telecom,-27.404
2019-06-03,Prlv De Free Telecom,-27.404
2018-06-01,Prlv De Free Telecom,-27.1405
2018-07-01,Prlv De Free Telecom,-27.1405
2018-08-01,Prlv De Free Telecom,-27.1405
2018-11-01,Prlv De Free Telecom,-27.1405
2018-12-01,Prlv De Free Telecom,-26.52
2019-04-05,Prlv De Free Telecom,-26.52
2018-10-01,Prlv De Free Telecom,-26.265
2019-03-11,Prlv De Suez Eau France,-23.4325
2018-08-10,Prlv De Suez Eau France,-23.205
2018-11-12,Prlv De Suez Eau France,-23.072
2018-12-10,Prlv De Suez Eau France,-23.072
2019-02-11,Prlv De Suez Eau France,-23.072
2019-05-10,Prlv De Suez Eau France,-22.568
2019-01-10,Prlv De Suez Eau France,-22.351
2019-06-10,Prlv De Suez Eau France,-21.84
2018-10-10,Prlv De Suez Eau France,-21.63
2018-04-10,Prlv De Suez Eau France,-21.42
2018-05-11,Prlv De Suez Eau France,-21.42
2018-06-11,Prlv De Suez Eau France,-21.42
2018-09-10,Prlv De Suez Eau France,-21.42
2018-06-01,CB Free Mobile,-18.988
2018-09-01,CB Free Mobile,-18.988
2018-08-01,CB Free Mobile,-18.0386
2019-03-05,CB Free Mobile,-18.0386
2019-04-05,CB Free Mobile,-18.0386
2019-06-03,Prlv De Free Mobile,-18.0386
2018-10-01,CB Free Mobile,-17.0892
2018-11-01,CB Free Mobile,-17.0892
2018-12-01,CB Free Mobile,-17.0892
2018-05-01,CB Free Mobile,-16.1398
2018-07-01,CB Free Mobile,-16.1398
2019-01-05,CB Free Mobile,-16.1398
2019-02-05,CB Free Mobile,-16.1398
2019-05-07,Prlv De Free Mobile,-16.1398
2018-09-14,CB Spotify,-12.96
2018-10-15,CB Spotify,-12.96
2018-11-14,CB Spotify France,-12.96
2019-02-08,CB Spotify France,-12.96
2019-03-08,CB Spotify,-12.96
2019-05-09,CB Spotify,-12.96
2018-03-14,CB Spotify France,-12.84
2018-06-14,CB Spotify France,-12.84
2018-07-16,CB Spotify,-12.84
2017-12-11,CB Spotify France,-12.6
2017-02-10,CB Spotify France,-12.48
2017-03-10,CB Etranger Spotify,-12.48
2017-05-10,CB Etranger Spotify,-12.48
2016-10-10,CB Etranger Spotify,-12.36
2016-04-11,CB Spotify France,-12.24
2016-05-10,CB Spotify France,-12.24
2016-06-13,CB Etranger Spotify,-12.24
2018-12-14,CB Spotify,-11.88
2019-01-10,CB Spotify France,-11.88
2019-04-09,CB Spotify,-11.88
2018-05-16,CB Etranger Spotify,-11.77
2018-08-14,CB Spotify,-11.77
2017-08-10,CB Etranger Spotify,-11.44
2016-08-10,CB Spotify France,-11.33
2016-11-10,CB Spotify France,-11.33
2016-12-12,CB Etranger Spotify,-11.33
2019-06-09,CB Spotify,-10.8
2018-02-14,CB Spotify France,-10.7
2018-04-17,CB Spotify France,-10.7
2017-09-11,CB Spotify France,-10.5
2017-10-10,CB Etranger Spotify,-10.5
2017-11-13,CB Spotify France,-10.5
2018-01-15,CB Spotify France,-10.5
2017-04-10,CB Spotify France,-10.4
2017-06-12,CB Spotify France,-10.4
