date,description,amount
2019-03-05,Prlvt De Axa,-58.315
2019-01-07,Prlvt De Axa,-58.0475
2017-11-06,Prlvt De Axa,-57.4875
2019-02-05,Prlvt De Axa,-57.245
2019-06-06,Prlvt De Axa,-56.9775
2018-07-03,Prlvt De Axa,-56.975
2019-03-05,Prlvt De Axa,-56.71
2018-05-07,Prlvt De Axa,-56.445
2019-04-05,Prlvt De Axa,-56.4425
2018-10-05,Prlvt De Axa,-56.18
2017-12-05,Prlvt De Axa,-56.175
2018-12-05,Prlvt De Axa,-56.175
2019-05-06,Prlvt De Axa,-56.175
2018-07-05,Prlvt De Axa,-55.915
2018-01-05,Prlvt De Axa,-55.9125
2017-08-07,Prlvt De Axa,-55.9
2017-09-05,Prlvt De Axa,-55.64
2018-04-05,Prlvt De Axa,-55.3875
2016-12-05,Prlvt De Axa,-55.3625
2017-02-06,Prlvt De Axa,-55.3625
2018-08-06,Prlvt De Axa,-55.12
2016-11-07,Prlvt De Axa,-55.08
2016-04-08,Prlvt De Axa,-55.045
2018-06-05,Prlvt De Axa,-54.855
2018-09-05,Prlvt De Axa,-54.855
2017-03-06,Prlvt De Axa,-54.8475
2016-07-05,Prlvt De Axa,-54.825
2018-11-05,Prlvt De Axa,-54.59
2017-01-05,Prlvt De Axa,-54.075
2017-03-06,Prlvt De Axa,-54.075
2018-03-05,Prlvt De Axa,-54.075
2016-03-16,Prlvt De Axa,-54.035
2017-10-05,Prlvt De Axa,-53.82
2018-03-05,Prlvt De Axa,-53.55
2016-08-05,Prlvt De Axa,-53.04
2017-07-05,Prlvt De Axa,-53.04
2017-03-06,Prlvt De Axa,-52.7875
2016-10-05,Prlvt De Axa,-52.785
2016-03-16,Prlvt De Axa,-52.7725
2018-02-05,Prlvt De Axa,-52.5
2017-04-05,Prlvt De Axa,-52.26
2017-05-05,Prlvt De Axa,-52.26
2016-09-05,Prlvt De Axa,-52.02
2017-06-06,Prlvt De Axa,-52
2016-06-06,Prlvt De Axa,-50.7525
2017-11-30,Prlv De Bouygues Telecom,-28.392
2017-06-30,Prlv De Bouygues Telecom,-28.119
2017-08-30,Prlv De Bouygues Telecom,-28.119
2016-12-30,Prlv De Bouygues Telecom,-27.846
2017-01-30,Prlv De Bouygues Telecom,-27.846
2017-12-29,Prlv De Bouygues Telecom,-27.664
2018-01-30,Prlv De Bouygues Telecom,-27.664
2017-07-31,Prlv De Bouygues Telecom,-27.398
2016-11-30,Prlv De Bouygues Telecom,-27.132
2018-02-23,Vir Bouygues Telecom,-26.936
2017-05-02,Prlv De Bouygues Telecom,-26.677
2017-10-30,Prlv De Bouygues Telecom,-26.208
2017-05-31,Prlv De Bouygues Telecom,-25.956
2017-10-02,Prlv De Bouygues Telecom,-25.956
2019-01-02,Prlv De Engie,-25.92
2017-03-02,Prlv De Bouygues Telecom,-25.704
2017-03-30,Prlv De Bouygues Telecom,-25.704
2019-03-11,Prlv De Engie,-25.056
2019-05-10,Prlv De Engie,-25.056
2018-06-04,Prlv De Engie,-25.038
2017-10-03,Prlv De Engie,-24.99
2017-07-03,Prlv De Engie,-24.96
2017-09-04,Prlv De Engie,-24.96
2019-04-02,Prlv De Engie,-24.84
2018-09-03,Prlv De Engie,-24.824
2017-03-09,Prlv De Engie,-24.752
2017-04-03,Prlv De Engie,-24.752
2018-11-02,Prlv De Engie,-24.624
2019-02-04,Prlv De Engie,-24.624
2016-11-02,Prlv De Engie,-24.514
2018-04-04,Prlv De Engie,-24.396
2018-07-03,Prlv De Engie,-24.396
2018-01-02,Prlv De Engie,-24.36
2018-02-02,Prlv De Engie,-24.36
2018-12-03,Prlv De Engie,-24.192
2017-11-02,Prlv De Engie,-24.15
2017-06-02,Prlv De Engie,-24.128
2017-02-02,Prlv De Engie,-24.102
2018-10-03,Prlv De Engie,-23.968
2017-01-02,Prlv De Engie,-23.896
2019-06-05,Prlv De Engie,-23.76
2018-08-02,Prlv De Engie,-23.754
2017-08-02,Prlv De Engie,-23.712
2016-09-02,Prlv De Engie,-23.69
2016-08-02,Prlv De Engie,-23.664
2018-05-03,Prlv De Engie,-23.54
2017-12-04,Prlv De Engie,-23.52
2019-03-11,Prlv De Suez Eau France,-23.4325
2016-04-25,Prlv De Engie,-23.256
2018-08-10,Prlv De Suez Eau France,-23.205
2018-11-12,Prlv De Suez Eau France,-23.072
2018-12-10,Prlv De Suez Eau France,-23.072
2019-02-11,Prlv De Suez Eau France,-23.072
2016-07-04,"Prlv De Engie, Ex Gdfsuez",-23.052
2017-05-03,Prlv De Engie,-22.88
2016-12-05,Prlv De Engie,-22.866
2016-05-03,"Prlv De Engie, Ex Gdfsuez",-22.848
